country,revenue,orders,units,customers,return_value,cancelled_orders,average_order_value,return_value_rate
United Kingdom,9025222.084,18019,4662390,3920,815291.6,3372.0,500.8725281092181,0.08285051229852036
Netherlands,285446.34,94,200361,9,784.8000000000001,6.0,3036.663191489362,0.0027418400387882328
EIRE,283453.96,288,147173,3,20177.14,72.0,984.215138888889,0.06645281066399324
Germany,228867.14,457,119261,94,7168.93,146.0,500.8033698030635,0.030372179980797002
France,209715.11,392,112103,87,12311.210000000001,69.0,534.987525510204,0.05544932690862958
Australia,138521.31,57,83901,9,1444.04,12.0,2430.1984210526316,0.010317124916988383
Spain,61577.11,90,27940,30,6802.53,15.0,684.1901111111112,0.09948180481792533
Switzerland,57089.9,54,30629,21,704.55,20.0,1057.2203703703703,0.012190616919098632
Belgium,41196.34,98,23237,25,285.38,21.0,420.3708163265306,0.0068796568705444235
Sweden,38378.33,36,36083,8,1782.42,10.0,1066.0647222222224,0.044382139277777434
Japan,37416.369999999995,19,26016,8,2075.75,9.0,1969.282631578947,0.052561118521872216
Norway,36165.44,36,19336,10,1001.98,4.0,1004.5955555555556,0.02695855671445583
Portugal,33747.1,58,16258,19,4380.08,13.0,581.846551724138,0.1148807753418952
Finland,22546.08,41,10704,12,219.34,7.0,549.9043902439025,0.009634788200700886
Singapore,21279.29,7,5241,1,12158.9,3.0,3039.8985714285714,0.3636231506549846
Channel Islands,20450.44,26,9491,9,364.15,7.0,786.5553846153846,0.01749493984748198
Denmark,18955.34,18,8235,9,187.2,3.0,1053.0744444444445,0.009779266492325469
Italy,17483.24,38,8112,14,592.73,17.0,460.08526315789476,0.032791048004616075
Hong Kong,15691.800000000001,11,4773,0,5574.76,4.0,1426.527272727273,0.2621373649523007
Cyprus,13590.38,16,6361,8,644.09,4.0,849.39875,0.045248611293571175
Austria,10198.68,17,4881,11,44.36,2.0,599.9223529411765,0.004330745559911901
Israel,8135.26,8,4409,3,227.44,1.0,1016.9075,0.027196957920288898
Poland,7334.65,19,3684,6,121.51,5.0,386.03421052631575,0.016296592347803698
Greece,4760.52,5,1557,4,50.0,1.0,952.104,0.010393886731579953
Unspecified,4749.79,13,3300,4,0.0,0.0,365.36846153846153,0.0
Iceland,4310.0,7,2458,1,0.0,0.0,615.7142857142857,0.0
Canada,3666.38,6,2763,4,0.0,0.0,611.0633333333334,0.0
USA,3580.39,5,2458,4,1849.47,2.0,716.078,0.3406109918119436
Malta,2725.59,5,970,2,220.12,5.0,545.118,0.07472561793251882
United Arab Emirates,1902.28,3,982,2,0.0,0.0,634.0933333333334,0.0
Lebanon,1693.88,1,386,1,0.0,0.0,1693.88,0.0
Lithuania,1661.06,4,652,1,0.0,0.0,415.265,0.0
European Community,1300.25,4,499,1,8.5,1.0,325.0625,0.006494746895893027
Brazil,1143.6,1,356,1,0.0,0.0,1143.6,0.0
RSA,1002.3100000000001,1,351,1,0.0,0.0,1002.3100000000001,0.0
Czech Republic,826.74,2,671,1,119.02,3.0,413.37,0.12584588056166468
Bahrain,754.14,3,314,2,205.74,1.0,251.38,0.21433929241155145
Saudi Arabia,145.92,1,80,1,14.75,1.0,145.92,0.0918030746250078
