customer_id,last_purchase,frequency,monetary,recency_days,r_score,f_score,m_score,rfm_score,segment
14646,2011-12-08 12:12:00,73,280206.02,2,5,5,5,15,Champions
18102,2011-12-09 11:50:00,60,259657.3,1,5,5,5,15,Champions
17450,2011-12-01 13:29:00,46,194550.79,9,5,5,5,15,Champions
14911,2011-12-08 15:54:00,201,143825.06,2,5,5,5,15,Champions
14156,2011-11-30 10:54:00,55,117379.63,10,5,5,5,15,Champions
17511,2011-12-07 10:12:00,31,91062.38,3,5,5,5,15,Champions
16684,2011-12-05 14:06:00,28,66653.56,5,5,5,5,15,Champions
14096,2011-12-05 17:17:00,17,65164.79,5,5,5,5,15,Champions
13694,2011-12-06 09:32:00,50,65039.62,4,5,5,5,15,Champions
15311,2011-12-09 12:00:00,91,60767.9,1,5,5,5,15,Champions
13089,2011-12-07 09:02:00,97,58825.83,3,5,5,5,15,Champions
17949,2011-12-08 18:46:00,45,58510.48,2,5,5,5,15,Champions
15769,2011-12-02 13:52:00,26,56252.72,8,5,5,5,15,Champions
15061,2011-12-06 12:06:00,48,54534.14,4,5,5,5,15,Champions
14298,2011-12-01 13:12:00,44,51527.3,9,5,5,5,15,Champions
14088,2011-11-29 16:16:00,13,50491.81,11,5,5,5,15,Champions
17841,2011-12-08 12:07:00,124,40991.57,2,5,5,5,15,Champions
13798,2011-12-08 15:51:00,57,37153.85,2,5,5,5,15,Champions
16013,2011-12-06 10:36:00,47,37130.6,4,5,5,5,15,Champions
12748,2011-12-09 12:20:00,209,33719.73,1,5,5,5,15,Champions
15838,2011-11-28 14:00:00,19,33643.08,12,5,5,5,15,Champions
17404,2011-12-05 16:26:00,15,31906.82,5,5,5,5,15,Champions
17389,2011-12-09 09:38:00,34,31833.68,1,5,5,5,15,Champions
13098,2011-12-08 14:14:00,28,28882.44,2,5,5,5,15,Champions
13081,2011-11-28 10:54:00,11,28337.38,12,5,5,5,15,Champions
13408,2011-12-08 09:05:00,62,28117.04,2,5,5,5,15,Champions
17857,2011-12-05 13:13:00,23,26879.04,5,5,5,5,15,Champions
16333,2011-12-02 12:19:00,22,26626.8,8,5,5,5,15,Champions
13777,2011-12-09 12:25:00,33,25977.16,1,5,5,5,15,Champions
16210,2011-12-08 12:36:00,18,21086.3,2,5,5,5,15,Champions
17675,2011-12-08 18:03:00,31,20374.28,2,5,5,5,15,Champions
17381,2011-12-01 11:59:00,29,20275.61,9,5,5,5,15,Champions
15039,2011-11-30 11:31:00,47,19914.44,10,5,5,5,15,Champions
12471,2011-12-07 15:43:00,30,19824.05,3,5,5,5,15,Champions
15159,2011-12-08 12:05:00,30,18641.010000000002,2,5,5,5,15,Champions
12901,2011-12-01 10:07:00,28,17654.54,9,5,5,5,15,Champions
14031,2011-12-02 17:13:00,19,17286.86,8,5,5,5,15,Champions
17428,2011-12-09 09:45:00,28,17256.85,1,5,5,5,15,Champions
13767,2011-12-07 15:00:00,37,17220.36,3,5,5,5,15,Champions
13881,2011-12-06 12:50:00,20,17159.52,4,5,5,5,15,Champions
16839,2011-12-01 09:03:00,34,16594.35,9,5,5,5,15,Champions
12921,2011-11-30 16:22:00,37,16587.09,10,5,5,5,15,Champions
15856,2011-12-05 17:09:00,27,16387.57,5,5,5,5,15,Champions
17677,2011-12-08 09:56:00,30,16363.23,2,5,5,5,15,Champions
15189,2011-12-08 13:22:00,41,16225.39,2,5,5,5,15,Champions
14051,2011-12-09 10:20:00,23,15610.390000000001,1,5,5,5,15,Champions
16133,2011-12-06 11:24:00,33,14589.04,4,5,5,5,15,Champions
14866,2011-11-29 11:45:00,12,14389.9,11,5,5,5,15,Champions
16705,2011-12-09 12:08:00,20,14034.99,1,5,5,5,15,Champions
12621,2011-12-08 11:25:00,20,13689.67,2,5,5,5,15,Champions
12433,2011-12-09 10:02:00,7,13375.87,1,5,5,5,15,Champions
15498,2011-12-07 12:48:00,27,13316.4,3,5,5,5,15,Champions
17735,2011-12-07 16:47:00,19,13110.02,3,5,5,5,15,Champions
16525,2011-12-07 15:07:00,26,13027.45,3,5,5,5,15,Champions
14258,2011-11-30 15:27:00,9,12669.98,10,5,5,5,15,Champions
13078,2011-12-06 15:36:00,26,12627.94,4,5,5,5,15,Champions
15640,2011-12-05 14:35:00,15,12515.66,5,5,5,5,15,Champions
12682,2011-12-06 10:00:00,31,12288.22,4,5,5,5,15,Champions
13113,2011-12-09 12:49:00,24,12245.960000000001,1,5,5,5,15,Champions
14606,2011-12-08 19:28:00,93,12156.65,2,5,5,5,15,Champions
14194,2011-12-05 10:38:00,21,11349.52,5,5,5,5,15,Champions
12971,2011-12-06 12:20:00,86,11189.91,4,5,5,5,15,Champions
14895,2011-12-02 09:23:00,20,11138.710000000001,8,5,5,5,15,Champions
17581,2011-12-09 12:21:00,25,11045.04,1,5,5,5,15,Champions
13319,2011-12-04 13:34:00,26,10845.550000000001,6,5,5,5,15,Champions
14769,2011-12-07 10:24:00,8,10674.75,3,5,5,5,15,Champions
16779,2011-12-07 14:54:00,22,10629.720000000001,3,5,5,5,15,Champions
