year_month,revenue,orders,units,customers,return_value,return_units,cancelled_orders,average_order_value,return_value_rate
2010-12,823746.14,1559,359239,885,74789.12,16042,326,528.3811032713278,0.08323448542241958
2011-01,691364.56,1086,387785,741,131364.30000000002,79845,260,636.6156169429098,0.15966900687062321
2011-02,523631.89,1100,283555,758,25569.24,2871,219,476.0289909090909,0.04655715111146986
2011-03,717639.36,1454,377526,974,34372.28,5395,318,493.56214580467673,0.045707111661197154
2011-04,537808.621,1246,308815,856,44601.5,13645,240,431.62810674157305,0.07658091504903637
2011-05,770536.02,1681,395738,1056,47202.51,5868,314,458.3795478881618,0.05772323092076877
2011-06,761739.9,1533,389213,991,70616.78,7362,329,496.8949119373777,0.08483956661463929
2011-07,719221.191,1475,401759,949,37921.08,6028,270,487.60758711864406,0.05008448405596946
2011-08,759138.38,1361,421770,935,54333.75,12346,278,557.7798530492286,0.06679239275228765
2011-09,1058590.172,1837,570820,1266,38902.55,7429,333,576.2603004899293,0.03544674986919868
2011-10,1154979.3,2040,623401,1364,84274.63,24541,362,566.1663235294118,0.06800432741012166
2011-11,1509496.33,2769,754507,1664,47740.08,12621,441,545.1413253882268,0.030656925110041575
2011-12,638792.68,819,314248,615,205124.67,83581,146,779.9666422466423,0.2430625108015613
