stock_code,description,revenue,sold_units,orders,return_value,return_units,cancelled_orders,return_unit_rate
DOT,DOTCOM POSTAGE,206248.77,706,706,3.29,1.0,1.0,0.0014144271570014145
22423,REGENCY CAKESTAND 3 TIER,174484.74,13879,1988,9722.55,857.0,180.0,0.05815689467969598
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,168469.6,80995.0,1.0,0.5
85123A,WHITE HANGING HEART T-LIGHT HOLDER,104340.29000000001,37599,2189,6624.3,2578.0,42.0,0.06416606516165965
47566,PARTY BUNTING,99504.33,18295,1685,1201.3500000000001,277.0,20.0,0.014914925694594013
85099B,JUMBO BAG RED RETROSPOT,94340.05,48474,2089,1984.02,1115.0,43.0,0.022484825263667345
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,77479.64,74494.0,10.0,0.48839877529879955
M,Manual,78110.27,7224,289,146784.46,4066.0,223.0,0.36014171833480957
POST,POSTAGE,78101.88,3150,1126,11871.24,147.0,124.0,0.044585987261146494
23084,RABBIT NIGHT LIGHT,66964.99,30788,994,208.4,108.0,15.0,0.003495598135680994
22086,PAPER CHAIN KIT 50'S CHRISTMAS,64952.29,19355,1160,1160.35,453.0,10.0,0.022869547657512115
84879,ASSORTED COLOUR BIRD ORNAMENT,59094.93,36461,1455,135.2,80.0,12.0,0.002189321583974166
79321,CHILLI LIGHTS,54117.76,10306,661,349.7,80.0,6.0,0.007702676680146351
23298,SPOTTY BUNTING,42548.130000000005,8327,1140,482.81,110.0,12.0,0.01303780964797914
22386,JUMBO BAG PINK POLKADOT,42436.24,21465,1218,816.58,456.0,13.0,0.020801970713014917
21137,BLACK RECORD COVER FRAME,40652.13,11656,375,55.17,15.0,5.0,0.0012852369120041128
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,385.25,75.0,9.0,0.5514705882352942
23284,DOORMAT KEEP CALM AND COME IN,38166.64,5491,728,1601.25,225.0,7.0,0.03936319104268719
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38158.39,7493,1385,744.95,157.0,73.0,0.020522875816993465
22960,JAM MAKING SET WITH JARS,37128.88,8706,1132,1012.79,247.0,87.0,0.027588517815257455
82484,WOOD BLACK BOARD ANT WHITE FINISH,36030.22,6020,685,170.95000000000002,24.0,11.0,0.003970880211780278
20725,LUNCH BAG RED RETROSPOT,35752.01,19353,1564,854.7,574.0,43.0,0.028805138756461082
22197,POPCORN HOLDER,34298.87,36761,803,366.55,471.0,50.0,0.01265040825096691
22178,VICTORIAN GLASS HANGING T-LIGHT,33187.97,24304,1037,638.4,450.0,25.0,0.018178880180980853
22114,HOT WATER BOTTLE TEA AND SYMPATHY,33002.590000000004,5747,643,310.1,82.0,5.0,0.014067593069137073
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,32873.340000000004,10604,820,931.45,351.0,12.0,0.032040164308534916
22112,CHOCOLATE HOT WATER BOTTLE,32866.18,6025,858,548.88,128.0,8.0,0.02080286039330408
85099F,JUMBO BAG STRAWBERRY,32570.47,17273,812,448.49,250.0,13.0,0.014266963419505792
22469,HEART OF WICKER SMALL,32107.8,17971,1201,207.95,135.0,11.0,0.007456091903236496
23245,SET OF 3 REGENCY CAKE TINS,31177.95,6357,873,421.5,90.0,37.0,0.013959981386691484
21931,JUMBO STORAGE BAG SUKI,30770.12,13654,1184,602.33,334.0,17.0,0.023877609379468114
22727,ALARM CLOCK BAKELIKE RED,30701.12,7815,1051,277.5,74.0,30.0,0.009380149575358094
23199,JUMBO BAG APPLES,30475.65,14920,978,1309.25,723.0,21.0,0.04621875599309595
22470,HEART OF WICKER LARGE,30139.41,9901,925,189.5,68.0,16.0,0.006821145551208747
22355,CHARLOTTE BAG SUKI DESIGN,29277.95,18152,882,113.59,150.0,12.0,0.008195825592831385
22699,ROSES REGENCY TEACUP AND SAUCER,29095.27,9877,1065,1150.35,437.0,54.0,0.04236959472561567
23355,HOT WATER BOTTLE KEEP CALM,28842.550000000003,5841,782,417.6,96.0,8.0,0.01616978271854472
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,28634.95,12602,1175,622.47,354.0,12.0,0.027323247916023464
22457,NATURAL SLATE HEART CHALKBOARD,28147.960000000003,9172,1249,152.60000000000002,52.0,17.0,0.005637467476149176
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28092.2,13922,933,510.88000000000005,281.0,14.0,0.019784552559318453
20685,DOORMAT RED RETROSPOT,28082.54,4092,696,461.22,66.0,7.0,0.015873015873015872
23201,JUMBO BAG ALPHABET,27890.170000000002,13379,906,1076.02,594.0,14.0,0.04251055607242539
22726,ALARM CLOCK BAKELIKE GREEN,27196.53,6430,980,157.5,42.0,21.0,0.0064894932014833125
